,ID,artist,song,link,text,album,released,genre,home_country,singer_age_at_release,entity,topic
Feel the fire, burnin' slow  
I got a habit and I'm back for more  
Your magic touch, don't you know  
I'm after you and now I can't let go  
Feel the fire, burnin' slow  
You better get it while it's hot now babe  
'Cause I can't, can't, can't let you go

",Permanent Vacation,1987,"Hard rock, Rock",United States,39,"['Shotgun', 'babe']","['Albums', 'Recorded music', 'Music media', 'Television episodes', 'American television episodes', 'Sound recording', 'Music industry', 'Television series', 'Shotgun', 'Rock albums']"

2,3,Aerosmith,Taste Of India,/a/aerosmith/taste+of+india_20004375.html,"God I love the sweet taste of India  
Lingers on the tip of my tongue  
Gotta love the sweet taste of India  
Blame it on the beat of the drum  
  
God I love the sweet taste of India  
Lingers on the tip of my tongue  
Gotta know that what's gotten into you  
Any cat man do when it's done  
  
Yeah, she's got that kind of love incense  
That lives in her back room  
And when it mixes with the funk my friend  
It turns into perfume  
  
When you are born  
You're afraid of the darkness  
Then you're afraid of the light  
But I'm not afraid  
When I dance with my shadow  
  
This time I'm gonna get it right  
To think of what I'll get tonight  
Just lookin' for a little taste  
(A Taste Of India)  
She'll steal the smile right off your face  
  
Her Yin and Yang  
Is just the thing  
She's unpredictable my friend  
  
God I love the sweet taste of India  
Lingers on the tip of my tongue  
Gotta know that what's gotten into you  
Any cat man do when it's done  
  
It's like your first taste, love, of vindaloo  
That sets your heart on fire  
And if you let her stuff get into you  
It will be all that you desire  
  
When you make love to  
A sweet tantric priestess  
You drink in the bliss of delight  
But I'm not afraid  
When I dance with her shadow  
  
This time I'm gonna get it right  
She's gonna wake my appetite  
Just lookin' for a little taste  
(A Taste Of India)  
She'll steal the smile right off your face  
  
She a friend of mine  
She a concubine  
The sweetest wine  
I gotta make her mine  
  
God I love the sweet taste of India  
Lingers on the tip of my tongue  
Gotta love the sweet taste of India  
Blame it on the beat of the drum  
  
God I love the sweet taste of India  
Lingers on the tip of my tongue  
Gotta know that what's gotten into you  
Any cat man do when it's done  
  
Just think of what I'll get tonight  
She's gonna wake my appetite  
Just lookin' for a little taste  
(A Taste Of India)  
She'll steal the smile right off your face  
  
Yow, yow...

",Nine Lives,1997,Hard rock,United States,49,"['Incense', 'Sweetness of wine', 'Wine', 'Funk', 'Vindaloo', 'Yin and yang', 'Perfume', 'Appetite', 'Concubinage', 'India']","['Wine', 'Recorded music', 'Grape', 'Fermented drinks', 'Alcoholic drinks', 'Alcohol', 'Albums', 'Music', 'Crops originating from Europe', 'Music media']"

3,4,Aerosmith,Dream On,/a/aerosmith/dream+on_20004389.html,"Every time when I look in the mirror  
All these lines on my face getting clearer  
The past is gone  
It went by, like dusk to dawn  
Isn't that the way  
Everybody's got the dues in life to pay  
  
I know nobody knows  
Where it comes and where it goes  
I know it's everybody's sin  
You got to lose to know how to win  
  
Half my life  
Is books, written pages  
Live and learn from fools and  
From sages  
You know it's true, oh  
All the things come back to you  
  
Sing with me, sing for the year  
Sing for the laughter, sing for the tear  
Sing with me, just for today  
Maybe tomorrow, the good Lord will take you away  
  
Yeah, sing with me, sing for the year  
Sing for the laughter, sing for the tear  
Sing with me, just for today  
Maybe tomorrow, the good Lord will take you away  
  
Dream on  
Dream on  
Dream on  
Dream until your dreams come true  
Dream on  
Dream on  
Dream on  
Dream until your dreams come true  
Dream on  
Dream on  
Dream on  
Dream on  
Dream on  
Dream on  
Dream on  
  
Sing with me, sing for the year  
Sing for the laughter, sing for the tear  
Sing with me, just for today  
Maybe tomorrow, the good Lord will take you away  
Sing with me, sing for the year  
Sing for the laughter, sing for the tear  
Sing with me, just for today  
Maybe tomorrow, the good Lord will take you away.

",Aerosmith,1973,"Classic rock, Rock",United States,25,"['Dawn', 'Sin', 'Laughter', 'Dream']","['Dawn', 'Entertainment', 'Fiction', 'Literature', 'Novels', 'Sin', 'Laughter', 'Culture', 'Creative works', 'Religious behaviour and experience']"

4,5,Aerosmith,Eyesight To The Blind,/a/aerosmith/eyesight+to+the+blind_10002988.html,"Well, well, well, well  
  
You were talking about your woman.  
I wish to god that you could see mine.  
You were talking about your woman.  
I wish to god, man, that you could see mine.  
Every time my little girl start to lovin',  
She bring eyesight to the blind.  
  
Lord, her daddy must have been a millionaire, cause I could tell by the way
she walked.  
Her daddy must have been a millionaire, cause I could tell by the way she
walked.  
Every time she start to lovin',  
The deaf and dumb begin to talk.  
Yeah, you know what they say.  
  
I remember one Friday morning,  
We was lying down across your bed.  
Man in the back room was dying, eyes were sad, and I stroked his head and I
said Lordy ain't she pretty, and the whole state knows she's fine.  
And every, every, every time she start to lovin', she bring eyesight to the
blind  
  
What a woman I got here.  
Lean on me baby, lean on me.  
  
Yes, I declare she's pretty, and the whole state knows she's fine.  
Man, I declare she's pretty, lordy, lordy, I declare she's fine.  
  
Every, every, every, every time she starts to lovin', she bring eyesight to
the blind.

",Honkin' on Bobo,2004,"Hard rock, Rock",United States,56,"['God', 'Lordy', 'Lord']","['Shacharit for Shabbat and Yom Tov', 'Shabbat prayers', 'Torah reading', 'Months of the Hebrew calendar', 'Shabbat', 'Torah books', 'Weekly Torah readings', 'Jewish services', 'Jewish prayer and ritual texts', 'Jewish life cycle']"

5,6,Aerosmith,Falling Off,/a/aerosmith/falling+off_20004368.html,"I was a young man  
Whose Intentions were good  
Kept my hands in my pockets  
The way that I shouldI soon found out  
They got a mind of their own  
Beginning to thinkI had a heart  
Made of stoneI keep falling off  
I keep falling offI keep falling off  
I keep falling offI try to remember  
I try to forgetI?ll keep my promise  
Is that what I saidI had your number  
But I didn?t callI got no excuse  
I got my back to the wall  
I keep falling offI keep falling offI keep falling off  
I keep falling offMy eyes don't want to see  
My ears don't want to hear  
The things that make me feel  
That keep me so endeared to you  
It makes me thinkIs that the best that I can do  
It doesn't matter  
The time that I fallI'm up for the next one  
Like I'm ten feet tallI keep falling off  
I keep falling offI keep falling off  
I keep falling offI keep falling off  
I keep falling offI keep falling off  
I keep falling off  

",Nine Lives,1997,Hard rock,United States,49,"['I saidI', 'Labellum (botany)', 'I didn', '10', 't callI']","['Literature', 'Fiction', 'Culture', 'Novels', 'Entertainment', 'Creative works', 'Drama', 'Works', 'American television episodes', 'Television series']"

6,7,Aerosmith,Jaded,/a/aerosmith/jaded_20004303.html,"Hey j-j-jaded, you got your mama's style  
But you're yesterday's child to me  
So jaded  
You think that's where it's at  
But is that where it's supposed to be  
You're gettin' it all over me, ex-rated  
  
My my baby blue  
Yeah I been thinkin' about you  
My my baby blue  
Yeah you're so jaded  
And I'm the one that jaded you  
  
Hey j-j-jaded  
In all it's misery  
It will always be what I love and hated  
And maybe take a ride to the other side  
We're thinkin' of  
We'll slip into the velvet glove  
And be jaded  
  
My my baby blue  
Yeah I'm thinkin' about you  
My my baby blue  
Yeah I'm so jaded  
And baby I'm afraid of you  
  
Your thinking's so complicated  
I've had it all up to here  
But it's so overrated  
Love and hated  
Wouldn't trade it  
Love me jaded  
  
Hey j-j-jaded  
There ain't no baby please  
When I'm shootin' the breeze with her  
When everything you see is a blur  
And ecstasy's what you prefer  
  
My my baby blue  
Yeah I'm talkin' about you  
My my baby blue  
Yeah I've been thinkin' about you  
My my baby blue  
Yeah you're so jaded  
Baby  
Jaded  
Baby  
You're so jaded  
'Cause I'm the one that jaded you

",Just Push Play,2001,Hard rock,United States,53,"['Velvet', 'Love']","['Recorded music', 'Albums', 'Music', 'Music media', 'Music industry', 'English-language music', 'Rock music', 'Sound recording', 'Pop music', 'Rock albums']"

7,8,Aerosmith,Kings And Queens,/a/aerosmith/kings+queens_20004137.html,"Long ago in days untold  
Were ruled by lords of greed  
Maidens fared with gold they dared  
To bare their wombs that bleed  
Kings and queens and guillotines  
Taking lives denied  
Starch and parchment laid the laws  
When bishops took the ride  
Only to deceive  
Oh I know I  
Lived this life afore  
Somehow I know now  
Truths I must be sure  
Tossin', turnin', nightmares burnin'  
Dreams of swords in hand  
Sailing ships, the Viking spits  
The blood of father's land  
Only to deceive  
Living times of knights and mares  
Raising swords for maidens fair  
Sneer at death, fear only loss of pride  
Living other centuries  
Deja vu or what you please  
Follows true to all who do or die  
Screams of no reply  
They died  
Screams of no reply  
And died  
Died  
Lordy, Lordy, they died

",Draw the Line,1977,Classic rock,United States,29,"['Vikings', 'Ship', 'Truth', 'Guillotine', 'Parchment', 'Greed', 'Déjà vu', 'Starch', 'Sailing ship', 'Long', 'Spit (landform)', 'Kings', 'Lordy']","['Viking Age', 'Medieval Denmark', 'Early Middle Ages', 'Vikings', 'Artificial objects', 'Truth', 'Ship', 'Fiction', 'Ships', 'Viking Age people']"

8,9,Aerosmith,Lightning Strikes,/a/aerosmith/lightning+strikes_20004188.html,"Boys, it looks, are ready to rumble  
The word on the street some heads are gonna tumble  
Blades gonna flash when streets gang clash  
In the avenue tonight  
  
When the lightning strikes  
Zip gun Johnny's finger is itchin'  
The lid's gonna blow up in hell's kitchen  
It's an eye for an eye  
And a tooth for a tooth  
It's so ruthless when they fight  
  
When the lightning strikes  
And it's free for all in the parking lot  
And who'll rule the street  
And the night explodes  
When the cops bring down the heat  
  
And the chains they crash like thunder  
While the weak ones all retreat  
Gotta draw first blood  
Or they'll read your funeral rights  
  
When the lightning strikes  
It's dog eat dog when you meet your rival  
And the combat zone it's your means of survival  
Gonna get last licks on a suicide blitz  
With a broken dagger knife  
When the lightning strikes  
  
And it's free for all in the parking lot  
And who'll rule the street  
And the night explodes  
When the cops bring down the heat  
  
And the chains they crash like thunder  
While the weak ones all retreat  
Gotta draw first blood  
Or they'll read your funeral rights  
  
Oh, oh...  
When the lightning strikes  
When the lightning strikes  
When the lightning strikes  
Lightning and thunder  
When the lightning strikes...

",Rock in a Hard Place,1982,Hard rock,United States,34,"['Knife', 'Dagger', ""Hell's Kitchen, Manhattan"", 'Thunder', 'Eye for an eye', 'Lightning', 'Hell', 'Ready to Rumble', 'Improvised firearm', 'Location identifier']","['Blade weapons', 'Melee weapons', 'Knives', 'Hand tools', 'Weapons', 'Cutting tools', 'Personal weapons', 'Knife', 'Thunder', 'Cutting']"

9,10,Bruno Mars,Don't Give Up,/b/bruno+mars/dont+give+up_20989970.html,"[Bruno Mars]  
When you want to do something that's new  
And it seems really, really hard to do  
You feel like quitting, you feel you're through  
Well I have some advice for you  
  
Don't give up  
Keep on trying  
You're gonna make it  
I ain't lying  
Don't give up, don't ever quit  
Try and try and you can do it  
Don't give up, yeah  
  
If you want to catch a ball  
But you're having no luck at all  
The ball hits your head, it hits your nose  
It hits your belly, your chin and toes  
Well, try and try and try again  
Keep on trying until the end  
You put your hands out in the air  
You'll catch the ball  
Yes this I swear  
  
Don't give up,  
Keep on going  
You're on a boat,  
So keep on rowing  
Don't give up, don't ever stop  
Try and try and you'll come out on top  
Don't give up  
  
You got yourself rollerskates  
You put them on  
And you feel great  
You stand up  
Then you fall, don't think you can skate at all  
You get back up, then you trip,  
You skip and tip and slip, and flip  
You try and try and try some more  
Soon you're skating across the floor  
  
Don't give up, keep on moving,  
You're gonna get there, just keep on grooving  
Don't give up, don't pack it in  
Try and try, and you'll win  
Don't give up, no no no  
Don't give up, no no no  
Don't give up, no no no  
Don't give up, no no  
Don't give up!

",Sesame Street,2011,Pop,United States,26,"['Roller skates', 'Bruno Mars']","['Roller skates', 'Recorded music', 'Albums', 'Bruno Mars', 'Music media', 'Music industry', 'Television series', 'Entertainment', 'Sound recording', 'Sports']"

10,11,Bruno Mars,It Will Rain,/b/bruno+mars/it+will+rain_20984444.html,"If you ever leave me baby,  
Leave some morphine at my door  
'Cause it would take a whole lot of medication  
To realize what we used to have,  
We don't have it anymore.  
  
There's no religion that could save me  
No matter how long my knees are on the floor  
Ooh so keep in mind all the sacrifices I'm makin'  
Will keep you by my side  
Will keep you from walkin' out the door.  
  
'Cause there'll be no sunlight  
If I lose you, baby  
There'll be no clear skies  
If I lose you, baby  
Just like the clouds  
My eyes will do the same, if you walk away  
Everyday it will rain  
  
I'll never be your mother's favorite  
Your daddy can't even look me in the eye  
Ooh if I was in their shoes, I'd be doing the same thing  
Sayin there goes my little girl  
Walkin' with that troublesome guy  
  
But they're just afraid of something they can't understand  
Ooh but little darlin' watch me change their minds  
Yea for you I'll try I'll try I'll try I'll try  
I'll pick up these broken pieces 'til I'm bleeding  
If that'll make you mine  
  
'Cause there'll be no sunlight  
If I lose you, baby  
There'll be no clear skies  
If I lose you, baby  
Just like the clouds  
My eyes will do the same, if you walk away  
Everyday it will rain  
  
Don't you say, goodbye  
Don't you say, goodbye  
I'll pick up these broken pieces 'til I'm bleeding  
If that'll make it right  
  
'Cause there'll be no sunlight  
If I lose you, baby  
There'll be no clear skies  
If I lose you, baby  
Just like the clouds  
My eyes will do the same, if you walk away  
Everyday it will rain

",The Twighlight Saga: Breaking Dawn,2011,Pop,United States,26,"['Morphine', 'Makin (islands)', 'Sunlight', 'Walkin', 'Sayin']","['Television episodes', 'American television episodes', 'Television series', 'Fiction', 'Entertainment', 'Creative works', 'Speculative fiction', 'Morphine', 'Novels', 'Literature']"

11,12,Bruno Mars,Liquor Store Blues,/b/bruno+mars/liquor+store+blues_20890846.html,"Now greetings to the world!  
  
Standing at this liquor store,  
Whiskey coming through my pores,  
Feeling like I run this whole block.  
Lotto tickets cheap beer  
That's why you can catch me here,  
Tryna scratch my way up to the top.  
  
'Cause my job got me going nowhere,  
So I ain't got a thing to lose.  
Take me to a place where I don't care,  
This is me and my liquor store blues.  
  
I'll take one shot for my pain,  
One drag for my sorrow.  
Get messed up today,  
I'll be ok tomorrow.  
One shot for my pain,  
One drag for my sorrow.  
Get messed up today,  
I'll be ok tomorrow.  
  
Me and my guitar tonight,  
Singing to the city lights,  
Tryna live on more than what I got.  
'Cause '68 cents ain't gonna pay the rent,  
So I'll be out here 'til they call the cops.  
  
'Cause my job got me going nowhere,  
So I ain't got a thing to lose.  
Take me to a place where I don't care,  
This is me and my liquor store blues.  
  
I'll take one shot for my pain,  
One drag for my sorrow.  
Get messed up today,  
I'll be ok tomorrow.  
One shot for my pain,  
One drag for my sorrow.  
Get messed up today,  
I'll be ok tomorrow.  
  
Here comes Junior Gong, I'm flying high like Superman  
And thinking that I run the whole block,  
I don't know if it's just because pineapple kush between my jaws  
Has got me feeling like I'm on top  
  
Give me this one shot for my pain,  
One drag for my sorrow.  
Get messed up today,  
I'll be ok tomorrow.  
One shot for my pain,  
One drag for my sorrow.  
Get messed up today,  
I'll be ok tomorrow.  
  
Now greetings to the world!  
  
You best believe!

",Doo-Wops & Hooligans,2010,"Reggae, Pop",United States,25,"['Superman', 'Distilled beverage', 'Lottery', 'Blues', 'Beer', 'Liquor store', 'Whisky', 'Guitar', 'Gong', 'Pineapple', '68', 'Tryna']","['Recorded music', 'Distilled beverage', 'American musicians', 'Entertainment', 'Music', 'Music media', 'Albums', 'Performing arts', 'Popular music', 'Superman']"

12,13,Bruno Mars,When I Was Your Man,/b/bruno+mars/when+i+was+your+man_21048076.html,"Same bed but it feels just a little bit bigger now  
Our song on the radio but it doesn't sound the same  
When our friends talk about you, all it does is just tear me down  
'Cause my heart breaks a little when I hear your name  
  
It all just sounds like ooh, ooh ooh hoo hoo  
Mm, too young, too dumb to realize  
That I should have bought you flowers  
And held your hand  
Should have given you all my hours  
When I had the chance  
Take you to every party 'cause all you wanted to do was dance  
  
Now my baby's dancing  
But she's dancing with another man  
  
My pride, my ego, my needs, and my selfish ways  
Caused a good strong woman like you to walk out my life  
Now I never, never get to clean up the mess I made, oh  
And it haunts me every time I close my eyes  
  
It all just sounds like ooh, ooh ooh ooh ooh  
Mm, too young, too dumb to realize  
That I should have bought you flowers  
And held your hand  
Should have given you all my hours  
When I had the chance  
Take you to every party 'cause all you wanted to do was dance  
  
Now my baby's dancing  
But she's dancing with another man  
  
Although it hurts  
I'll be the first to say that I was wrong  
Oh, I know I'm probably much too late  
To try and apologize for my mistakes  
But I just want you to know  
  
I hope he buys you flowers  
I hope he holds your hand  
Give you all his hours  
When he has the chance  
Take you to every party  
'Cause I remember how much you loved to dance  
Do all the things I should have done  
When I was your man  
Do all the things I should have done  
When I was your man

",Unorthodox Jukebox,2012,Pop,United States,27,"['When I Was Your Man', 'Pride']","['When I Was Your Man', 'Entertainment', 'Pride', 'Recorded music', 'Fiction', 'Creative works', 'Music', 'Works', 'Novels', 'Drama']"

13,14,Bruno Mars,Gorilla,/b/bruno+mars/gorilla_21048075.html,"Oh I got a bottle full of liquor with a cocaine  
Kicker and I'm feeling like I'm thirty feet tall  
So lay it down, lay it down  
You got your legs up in the sky with the devil in your eyes  
Let me hear you say you want it all  
Say it now, say it now  
  
Look what you doing, look what you done  
But in this jungle you can't run  
'Cause what I got for you  
I promise is a killer, you'll be banging on my chest  
Bang bang, gorilla  
  
Ooh ooh ooh yeah, you and me baby making love like gorillas  
Ooh ooh ooh yeah, you and me baby making love like gorillas  
  
Yeah I got a fistful of your hair  
But you don't look like you're scared  
You're just smiling tell me daddy it's yours  
'Cause you know how I like it use a dirty little lover  
If the neighbors call the cops, call the sheriff  
Call the swat we don't stop  
We keep rocking while they knocking on our door  
And you're screaming give it to me baby  
Give it to me motherfucker  
  
Oh look what you doing, look what you done  
But in this jungle you can't run  
'Cause what I got for you  
I promise is a killer, you'll be banging on my chest  
Bang bang, gorilla  
  
Ooh ooh ooh yeah, you and me baby making love like gorillas  
Ooh ooh ooh yeah, you and me baby making love like gorillas  
  
I bet you never ever felt so good, so good  
I got your body trembling like it should, it should  
You'll never be the same baby once I'm done with you  
  
Oh you with me baby making love like gorillas  
Ooh ooh ooh yeah, you and me baby we'll be fuckin' it like gorillas  
Ooh ooh ooh yeah  
You and me baby making love like gorillas

",Unorthodox Jukebox,2012,Pop,United States,27,"['Cocaine', 'Gorilla', 'Devil', 'SWAT', 'Door', 'Distilled beverage', 'Bang', '30']","['Gorilla', 'Television episodes', 'American television episodes', 'Entertainment', 'Cocaine', 'Television series', 'Creative works', 'Fiction', 'Recorded music', 'Novels']"

14,15,Bruno Mars,Show Me,/b/bruno+mars/show+me_21048081.html,"Oh yeah, oh yeah  
Baby here we are again, ooh  
  
I can see it in your eyes, you want a good time  
You wanna put your body on mine  
Alright but don't change your mind, don't you change it, oh no  
  
Oh yeah you called me today, drove all this way  
So don't let this bus go to waste, oh no  
Your pleasure pleasure island is where we can go  
  
No I won't think you're easy, no I won't think you're fast  
Your eyes saying please me but your lips care to ask  
No need to fight it when you know it feels right  
You say you're a woman who knows what she likes  
  
Then show me, you got to you got to show me  
You tell me all day that you're lonely  
But show me show me show me tonight, yeah  
Girl show me, you got to you got to show me  
You tell me all day that you're lonely  
But show me show me show me tonight, yeah  
  
Love the way that you laugh, the way that you smile  
Makes me feel like you've been waiting a while But guess what?  
Darling, I've been waiting too  
So let's ride, we can get freaky tonight  
Right is your ticket to ride  
Tell me girl what you gon' do  
  
No I won't think you're easy, no I won't think you're fast  
Your eyes saying please me but your lips care to ask  
No need to fight it when you know it feels right  
You say you're a woman who knows what she likes  
  
Then show me, you got to you got to show me  
You tell me all day that you're lonely  
But show me show me show me tonight, yeah  
Girl show me, you got to you got to show me  
You tell me all day that you're lonely  
Show me show me show me tonight  
  
It's getting freaky in this room room room  
Now let me hear you say you want that boom boom boom  
We can take it slow, we can zoom zoom zoom  
Baby if you're ready for that ah, ah ah  
  
It's getting freaky in this room room room  
Now let me hear you say you want that boom boom boom  
We can take it slow, we can zoom zoom zoom  
Baby if you're ready for that ah, ah ah  
  
Then show me, you got to you got to show me  
You tell me all day that you're lonely  
But show me show me show me tonight, yeah  
Girl show me, you got to you got to show me  
You tell me all day that you're lonely  
But show me show me show me tonight, yeah

",Unorthodox Jukebox,2012,Pop,United States,27,"['Land of Toys', 'Darling', 'Girl']","['Television episodes', 'American television episodes', 'Recorded music', 'Entertainment', 'Land of Toys', 'Music media', 'Music', 'Pop music', 'Fiction', 'Television series']"

15,16,Bruno Mars,Young Girls,/b/bruno+mars/young+girls_21048074.html,"I spent all my money on a big old fancy car  
For these bright-eyed hunnies  
Oh, yeah, you know who you are  
Keep me up 'til the sun is high  
'Til the birds start calling my name  
I'm addicted and I don't know why  
Guess I've always been this way  
  
All these roads steer me wrong  
But I still drive them all night long, all night long  
  
All you young wild girls  
You make a mess of me  
Yeah, you young wild girls  
You'll be the death of me, the death of me  
All you young wild girls  
No matter what you do (No matter what you do)  
Yeah, you young wild girls  
I'll always come back to you, come back to you  
  
I get lost under these lights  
I get lost in the words I say  
Start believing my own lies  
Like everything will be okay  
Oh, I still dream of simple life  
Boy meets girl, makes her his wife  
But love don't exist  
When you live like this  
That much I know, yes I know  
  
All these roads steer me wrong  
But I still drive them all night long, all night long  
  
All you young wild girls  
You make a mess of me  
Yeah, you young wild girls  
You'll be the death of me, the death of me  
All you young wild girls  
No matter what you do (No matter what you do)  
Yeah, you young wild girls  
I'll always come back to you, come back to you  
  
You, you, you, you  
You, you, you, you  
Yeah, you, you, you  
You, you, you, you  
  
All you young wild girls  
You make a mess of me  
Yeah, you young wild girls  
You'll be the death of me, the death of me  
All you young wild girls  
No matter what you do (No matter what you do)  
Yeah, you young wild girls  
I'll always come back to you, come back to you

",Unorthodox Jukebox,2012,Pop,United States,27,['2017-11-26T00:00:00.000-05:00'],"['Entertainment', 'Albums', 'Recorded music', 'Television series', 'Literature', 'Fiction', 'Music', 'Rock music', 'Music media', 'Television episodes']"

16,17,Coldplay,Fix You,/c/coldplay/fix+you_10069035.html,"When you try your best but you don't succeed  
When you get what you want but not what you need  
When you feel so tired but you can't sleep  
Stuck in reverse  
  
When the tears come streaming down your face  
When you lose something you can't replace  
When you love someone but it goes to waste  
Could it be worse?  
  
Lights will guide you home  
And ignite your bones  
And I will try to fix you  
  
High up above or down below  
When you're too in love to let it go  
If you never try you'll never know  
Just what you're worth  
  
Lights will guide you home  
And ignite your bones  
And I will try to fix you  
  
Tears come streaming down your face  
When you lose something you cannot replace  
Tears come streaming down your face  
And I  
  
Tears come streaming down your face  
I promise you I will learn from all my mistakes  
Tears come streaming down your face  
And I  
  
Lights will guide you home  
And ignite your bones  
And I will try to fix you

",X&Y,2005,"Alternative rock, Post-Britpop",England,28,['Fix You'],"['Fix You', 'Television series', 'American television episodes', 'Entertainment', 'Television episodes', 'Fiction', 'Literature', 'Novels', 'Creative works', 'Television franchises']"

17,18,Coldplay,I Ran Away,/c/coldplay/i+ran+away_20308952.html,"One, two, three... well  
I ran away from you  
That's all I ever do  
And though I started here  
I ran away from you  
  
I'm gonna come on in  
And see it through  
  
I ran away from you  
That's all I ever do  
  
And when I heard you call to  
Come back to me  
And though I should stay  
I don't have the stomach to  
  
Everyone I know  
Says I'm a fool mess with you  
Everyone I know  
Says it's a stupid thing to do  
  
I have your love on call  
And yet my day is not so full  
There might be nothing left to do  
So I ran away from you  
  
I'm gonna come on in  
My eyes are closed  
  
I can feel it there  
The sun's so close  
I'm gonna come on out  
And burn the sky  
  
A star arose in my own cage  
I'm stuck in line  
And in a cage  
  
Just a single star  
I sing for  
  
Everyone I know  
Says I'm a fool mess with you  
Everyone I know  
Says it's a stupid thing to do  
  
I have your love on call  
And yet my day is not so full  
And I did not know what to do  
And so I ran away from you

",Coldplay,2002,Rock,England,25,['2017-11-26T00:00:00.000-05:00'],"['Astronomy', 'Mythology', 'Literature', 'Culture', 'Entertainment', 'Physical sciences', 'Outer space', 'Traditional stories', 'Fiction', 'Shacharit for Shabbat and Yom Tov']"

18,19,Coldplay,Miracles,/c/coldplay/miracles_21091916.html,"[Verse 1]  
From up above I heard  
The angels sing to me these words  
And sometimes in your eyes  
I see the beauty in the world  
  
[Chorus]  
Oh, now I'm floating so high  
I blossom and die  
Send your storm and your lightning to strike  
Me between the eyes  
Eyes  
  
[Verse 2]  
Sometimes the stars decide  
To reflect in puddles in the dirt  
When I look in your eyes  
I forget all about what hurts  
  
[Chorus]  
Oh, now I'm floating so high  
I blossom and die  
Send your storm and your lightning to strike  
Me between the eyes and cry  
  
Believe in miracles  
  
[Outro]  
Oh hey  
I'm floating up above the world now  
Oh hey  
I'm floating up above the world now  
  
Ooh, Oh, Oh  
Oh yeah, yeah, yeah

",Kaleidoscope,2017,Alternative/Indie,England,40,"['Song structure', 'Refrain', 'Lightning', 'Conclusion (music)', '1', '2']","['Song structure', 'Songs', 'Musical compositions', 'Music', 'Musical form', 'Vocal music', 'Performing arts', 'Song forms', 'Musical forms', 'Elements of music']"

19,20,Coldplay,Moses,/c/coldplay/moses_10068978.html,"Come on now, don't you want to see?  
This thing that's happening to me  
Like Moses has power over sea  
So you've got power over me  
  
Come on now, don't you want to know?  
You're a refuge, somewhere I can go  
You're air that, air that I can breathe  
Cause you're my golden opportunity  
  
And oh, oh yes I would  
If I only could  
And you know I would  
And baby I, oh baby I  
I wish  
  
Come on now, don't you want to see?  
Just what a difference you've made in me  
I'll be waiting oh no matter what you say  
Cause I've been waiting for days, days, days  
  
And oh, oh yes I would  
If I only could  
And you know I would  
